Microsoft (R) COFF/PE Dumper Version 14.16.27030.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    C00F8A30 time date stamp
        0.00 version
           8 ordinal base
        2379 number of functions
        2378 number of names

    ordinal hint RVA      name

        405  18C 0009C0B0 NtMapUserPhysicalPagesScatter
        406  18D 0009C550 NtMapViewOfSection
        407  18E 0009E220 NtMapViewOfSectionEx
        408  18F 0009E240 NtModifyBootEntry
        409  190 0009E260 NtModifyDriverEntry
        410  191 0009E280 NtNotifyChangeDirectoryFile
        411  192 0009E2A0 NtNotifyChangeDirectoryFileEx
        412  193 0009E2C0 NtNotifyChangeKey
        413  194 0009E2E0 NtNotifyChangeMultipleKeys
        414  195 0009E300 NtNotifyChangeSession
        415  196 0009CB50 NtOpenDirectoryObject
        416  197 0009E320 NtOpenEnlistment
        417  198 0009C850 NtOpenEvent
        418  199 0009E340 NtOpenEventPair
        419  19A 0009C6B0 NtOpenFile
        420  19B 0009E360 NtOpenIoCompletion
        421  19C 0009E380 NtOpenJobObject
        422  19D 0009C290 NtOpenKey
        423  19E 0009E3A0 NtOpenKeyEx
        424  19F 0009E3C0 NtOpenKeyTransacted
        425  1A0 0009E3E0 NtOpenKeyTransactedEx
        426  1A1 0009E400 NtOpenKeyedEvent
        427  1A2 0009E420 NtOpenMutant
        428  1A3 0009E440 NtOpenObjectAuditAlarm
        429  1A4 0009E460 NtOpenPartition
        430  1A5 0009E480 NtOpenPrivateNamespace
        431  1A6 0009C510 NtOpenProcess
        432  1A7 0009E4A0 NtOpenProcessToken
        433  1A8 0009C650 NtOpenProcessTokenEx
        434  1A9 0009E4C0 NtOpenRegistryTransaction
        435  1AA 0009E4E0 NtOpenResourceManager
        436  1AB 0009C730 NtOpenSection
        437  1AC 0009E500 NtOpenSemaphore
        438  1AD 0009E520 NtOpenSession
        439  1AE 0009E540 NtOpenSymbolicLinkObject
        440  1AF 0009E560 NtOpenThread
        441  1B0 0009C4D0 NtOpenThreadToken
        442  1B1 0009C630 NtOpenThreadTokenEx
